0,Word,ContFunc,Syllable,Morpho,FromSnd,SemanTr,Freq
162,ต่อไป,F,2,ประสม,1,1,2878
163,นัก,C,1,เดี่ยว,1,0,2859
164,ชื่อ,C,1,เดี่ยว,1,0,2835
165,แห่ง,C,1,เดี่ยว,1,0,2823
166,จริง,C,1,เดี่ยว,2,0,2810
167,ชีวิต,C,2,เดี่ยว,2,0,2777
168,น้อย,C,1,เดี่ยว,1,0,2757
169,สามารถ,C,2,เดี่ยว,3,0,2701
170,เข้าใจ,C,2,ประสม,1,2,2692
171,อย่า,F,1,เดี่ยว,2,0,2689
172,ตา,C,1,เดี่ยว,1,0,2686
173,ข้า,CF,1,เดี่ยว,1,0,2682
174,ต้น,C,1,เดี่ยว,1,0,2677
175,ปี,C,1,เดี่ยว,1,0,2674
176,เรือ,C,1,เดี่ยว,1,0,2673
177,เดียว,C,1,เดี่ยว,1,0,2643
178,แก,CF,1,เดี่ยว,1,0,2637
179,สัตว์,C,1,เดี่ยว,2,0,2636
180,ต่าง,C,1,เดี่ยว,1,0,2631
181,คุณ,C,1,เดี่ยว,4,0,2619
182,ป่า,C,1,เดี่ยว,1,0,2615
183,ยิ่ง,C,1,เดี่ยว,1,0,2603
184,นาย,C,1,เดี่ยว,1,0,2590
185,ตาย,C,1,เดี่ยว,1,0,2569
186,สำคัญ,C,2,เดี่ยว,1,0,2555
187,เพื่อน,C,1,เดี่ยว,1,0,2546
188,ละ,CF,1,เดี่ยว,2,0,2535
189,วิ่ง,C,1,เดี่ยว,1,0,2522
190,ดัง,CF,1,เดี่ยว,1,0,2508
191,โรงเรียน,C,2,ประสม,1,1,2506
192,พบ,C,1,เดี่ยว,1,0,2498
193,หลัง,C,1,เดี่ยว,1,0,2477
194,มนุษย์,C,2,เดี่ยว,2,0,2474
195,ไม้,C,1,เดี่ยว,2,0,2448
196,นอน,C,1,เดี่ยว,1,0,2441
197,ประโยค,C,2,เดี่ยว,6,0,2405
198,เงิน,C,1,เดี่ยว,2,0,2380
199,มอง,C,1,เดี่ยว,1,0,2377
200,เรียก,C,1,เดี่ยว,1,0,2377
201,ตั้ง,CF,1,เดี่ยว,1,0,2364
202,สาม,C,1,เดี่ยว,2,0,2337
203,ยก,C,1,เดี่ยว,1,0,2301
204,สัก,C,1,เดี่ยว,2,0,2295
205,ส่ง,C,1,เดี่ยว,1,0,2282
206,ใช่,F,1,เดี่ยว,1,0,2248
207,ทราบ,C,1,เดี่ยว,2,0,2218
208,หล่อน,C,1,เดี่ยว,1,0,2208
209,รู้จัก,C,2,ซ้อน,2,1,2207
210,ตรง,CF,1,เดี่ยว,2,0,2204
211,ครู,C,1,เดี่ยว,1,0,2203
212,จับ,C,1,เดี่ยว,1,0,2171
213,หมด,C,1,เดี่ยว,1,0,2171
214,นาง,C,1,เดี่ยว,1,0,2163
215,หนู,C,1,เดี่ยว,1,0,2158
216,พี่,C,1,เดี่ยว,1,0,2151
217,ความหมาย,C,2,ประสม,2,1,2133
218,ครับ,F,1,เดี่ยว,1,0,2125
219,บท,C,1,เดี่ยว,2,0,2121
220,สำหรับ,C,2,เดี่ยว,1,0,2118
221,ไหน,C,1,เดี่ยว,1,0,2080
222,เพียง,F,1,เดี่ยว,1,0,2074
223,ตอน,C,1,เดี่ยว,1,0,2058
224,รถ,C,1,เดี่ยว,1,0,2050
225,มือ,C,1,เดี่ยว,1,0,2047
226,ไหม,CF,1,เดี่ยว,1,0,2024
227,ประโยชน์,C,2,เดี่ยว,8,0,1997
228,ใหม่,C,1,เดี่ยว,2,0,1982
229,เท่านั้น,F,2,ประสม,1,1,1976
230,ได้ยิน,C,2,ประสม,2,1,1933
231,ชาย,C,1,เดี่ยว,1,0,1926
232,รีบ,C,1,เดี่ยว,1,0,1925
233,ต้องการ,C,2,ประสม,2,3,1910
234,ยืน,C,1,เดี่ยว,1,0,1904
235,ผล,C,1,เดี่ยว,2,0,1901
236,ฝ่าย,C,1,เดี่ยว,1,0,1870
237,มัก,C,1,เดี่ยว,1,0,1867
238,ตัวอย่าง,C,2,ประสม,2,1,1852
239,ห้อง,C,1,เดี่ยว,1,0,1850
240,ทหาร,C,2,เดี่ยว,1,0,1847
241,เลี้ยง,C,1,เดี่ยว,1,0,1828
242,ผิด,C,1,เดี่ยว,1,0,1824
243,ปลา,C,1,เดี่ยว,1,0,1776
244,ใส่,C,1,เดี่ยว,1,0,1763
245,ข้าง,CF,1,เดี่ยว,1,0,1762
246,นาน,C,1,เดี่ยว,1,0,1754
247,ขาย,C,1,เดี่ยว,1,0,1747
248,ชนิด,C,2,เดี่ยว,1,0,1744
249,ที่สุด,C,2,ประสม,1,1,1734
250,ข้าว,C,1,เดี่ยว,1,0,1710
251,สอน,C,1,เดี่ยว,2,0,1698
252,ทำไม,C,2,เดี่ยว,1,0,1692
253,ซื้อ,C,1,เดี่ยว,1,0,1678
254,สุข,C,1,เดี่ยว,2,0,1673
255,แม้,F,1,เดี่ยว,1,0,1656
256,สูง,C,1,เดี่ยว,1,0,1639
257,หนี,C,1,เดี่ยว,1,0,1632
258,เก็บ,C,1,เดี่ยว,1,0,1620
259,เสมอ,C,2,เดี่ยว,4,0,1620
260,กลัว,C,1,เดี่ยว,2,0,1617
261,โลก,C,1,เดี่ยว,4,0,1613
262,รูป,C,1,เดี่ยว,2,0,1607
263,มิได้,F,2,ประสม,2,1,1606
264,พระองค์,C,2,ประสาน,1,1,1603
265,ชั้น,C,1,เดี่ยว,1,0,1596
266,คอย,C,1,เดี่ยว,1,0,1584
267,น้อง,C,1,เดี่ยว,1,0,1583
268,บุคคล,C,2,เดี่ยว,6,0,1582
269,เที่ยว,C,1,เดี่ยว,1,0,1566
270,ตลอด,C,2,เดี่ยว,3,0,1565
271,แรก,C,1,เดี่ยว,2,0,1546
272,คืน,C,1,เดี่ยว,1,0,1538
273,ศึกษา,C,2,เดี่ยว,2,0,1533
274,ต้นไม้,C,2,ประสม,2,1,1525
275,อื่นๆ,C,2,ซ้ำ,1,1,1525
276,ทั้งหลาย,C,2,ประสม,1,1,1505
277,วัด,C,1,เดี่ยว,1,0,1505
278,ชาว,C,1,เดี่ยว,1,0,1497
279,ย่อม,CF,1,เดี่ยว,1,0,1495
280,ติด,CF,1,เดี่ยว,1,0,1493
281,จัด,C,1,เดี่ยว,1,0,1485
282,ตั้งแต่,C,2,ประสม,1,1,1484
283,ตก,C,1,เดี่ยว,2,0,1474
284,จง,C,1,เดี่ยว,1,0,1460
285,แล,C,1,เดี่ยว,1,0,1458
286,พยายาม,C,3,เดี่ยว,1,0,1452
287,เหตุ,C,1,เดี่ยว,2,0,1450
288,นึก,C,1,เดี่ยว,1,0,1446
289,ลักษณะ,C,3,เดี่ยว,5,0,1444
290,เล็ก,C,1,เดี่ยว,1,0,1437
291,ช้าง,C,1,เดี่ยว,2,0,1431
292,หมา,C,1,เดี่ยว,1,0,1430
293,จำ,C,1,เดี่ยว,1,0,1425
294,ดอก,C,1,เดี่ยว,1,0,1424
295,ราช,C,1,เดี่ยว,3,0,1421
296,ล่ะ,F,1,เดี่ยว,1,0,1397
297,คุณแม่,C,2,ประสาน,4,1,1395
298,วิธี,C,2,เดี่ยว,1,0,1390
299,เช้า,C,1,เดี่ยว,1,0,1389
300,ด้าน,C,1,เดี่ยว,1,0,1388
301,ที,CF,1,เดี่ยว,1,0,1388
302,ถือ,C,1,เดี่ยว,1,0,1382
